Record Type,School,Charter Yes/No,Public Yes/No,Street City,Street Zip,
School,Selma High,N,Y,Selma,93662-2429,
School,Selma Independent,N,Y,Selma,93662-3436,
School,Almaden Valley Christian,N,N,Tollhouse,93667-9700,
School,Fisher School,N,N,Information Redacted,Information Redacted,
School,Shenk Family Homeschool,N,N,Tollhouse,93667-9766,
School,Sierra Alternative High,N,Y,Tollhouse,93667-9643,
School,Sierra High,N,Y,Tollhouse,93667-9644,
School,Sierra@Home,N,Y,Tollhouse,93667-9606,
School,Western Christian Academy,N,N,Prather,93651-9720,
School,Easton Continuation High,N,Y,Fresno,93706-5805,
School,Elm High,N,Y,Fresno,93706-5805,
School,W.E.B. DuBois Public Charter,Y,Y,Fresno,93706,
School,Washington High,N,Y,Fresno,93706-6018,
School,West Park Charter Academy,Y,Y,Fresno,93706-9042,
School,Crescent View South II,Y,Y,Fresno,93706-6218,
School,Yosemite Valley Charter,Y,Y,Fresno,93726-3840,
School,Success One!,Y,Y,Orland,95963-1525,
School,Willow Creek Christian School,N,N,Willows,95988,
School,Ella Barkley High,N,Y,Hamilton City,95951-0488,
School,Hamilton High,N,Y,Hamilton City,95951-0488,
School,Lake View Charter,Y,Y,Orland,95963-8103,
School,North Valley High (Continuation),N,Y,Orland,95963,
School,Orland High,N,Y,Orland,95963-1426,
School,Princeton Junior-Senior High,N,Y,Princeton,95970,
School,Princeton Landing High (Cont),N,Y,Princeton,95970,
School,River Valley Christian,N,N,Glenn,95943,
School,Bidwell Point High (Continuation),N,Y,Elk Creek,95939-0068,
School,Elk Creek High,N,Y,Elk Creek,95939-9708,
School,Willows Community High,N,Y,Willows,95988-2946,
School,Willows High,N,Y,Willows,95988-2706,
School,Redwood Coast Montessori,Y,Y,Manila,95521-9658,
School,Eureka Senior High,N,Y,Eureka,95501-3052,
School,Gospel Outreach School,N,N,Eureka,95503-4202,
School,Pacific View Charter 2.0,Y,Y,Eureka,95501-4311,
