,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
196,Half Moon Bay High,1,0,15.0,9.0,140460,7362,0.022820323511645077,0.14349956372910933,0.39391905497013224,0.23444526478287134
197,Nathaniel Narbonne Senior High,1,0,38.0,20.0,65119,9439,0.031733942625031736,0.24442751967504442,0.30611830413810615,0.08712871287128712
198,Hawthorne High,1,0,52.0,29.0,60162,30841,0.03532016016146359,0.2786874572739998,0.2421628308213158,0.07013574660633484
199,Hawthorne Math and Science Academy,1,1,42.0,17.0,60162,30841,0.03532016016146359,0.2786874572739998,0.2421628308213158,0.07013574660633484
200,Leadership Public Schools - Hayward,1,1,22.0,18.0,88764,9668,0.029421570261710286,0.2820470078346391,0.31463577262877146,0.0848058009668278
201,Healdsburg High,1,0,6.0,3.0,95938,6899,0.012993762993762994,0.19156519156519156,0.3815711315711316,0.1534006534006534
202,Hemet High,1,0,52.0,27.0,53885,15298,0.025051140833988985,0.3451455546813533,0.15367427222659324,0.05579858379228954
203,Tahquitz High,1,0,42.0,33.0,48052,14828,0.027099082073434127,0.35323299136069114,0.19225836933045357,0.06260124190064795
204,West Valley High,1,0,52.0,32.0,48052,14828,0.027099082073434127,0.35323299136069114,0.19225836933045357,0.06260124190064795
205,Western Center Academy,1,1,26.0,20.0,38686,12546,0.03604358759430008,0.31634534786253143,0.16580050293378037,0.02774518021793797
206,Hercules High,1,0,11.0,5.0,110669,8980,0.022606946209233376,0.1848792884371029,0.3923655230834392,0.14776577721304532
207,Encore Jr./Sr. High School for the Performing and Visual Arts,1,1,14.0,7.0,51712,24572,0.02290601651592607,0.41561148250098306,0.14380652772316163,0.030003932363350375
208,Hesperia High,1,0,39.0,23.0,51712,24572,0.02290601651592607,0.41561148250098306,0.14380652772316163,0.030003932363350375
209,Sultana High,1,0,23.0,15.0,51712,24572,0.02290601651592607,0.41561148250098306,0.14380652772316163,0.030003932363350375
210,Edison High,1,0,22.0,19.0,102473,21789,0.013045125242672475,0.17264075003551305,0.3859084236943037,0.169610303518159
211,Huntington Beach High,1,0,55.0,39.0,97470,19407,0.01955777377981545,0.17686147060530438,0.37159770181649354,0.17509140502582554
212,Marina High,1,0,73.0,55.0,101466,14560,0.01422045387562629,0.14680960801650456,0.41298261125847335,0.18136604774535808
213,Ocean View High,1,0,31.0,24.0,91331,21520,0.02669153885127355,0.21330201280456912,0.3328266777209709,0.13244438303164294
214,Alliance Collins Family College-Ready High,1,1,47.0,24.0,49366,18523,0.06870794224612906,0.29295063045798037,0.1027461399420719,0.015614451534223306
