,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
540,Amador Valley High,1,0,261.0,28.0,163499,15685,0.006626277925028398,0.10649375236652783,0.4119967184147419,0.315032184778493
541,Foothill High,1,0,192.0,21.0,157203,12616,0.006755682721347958,0.11345573040852011,0.43657606103958035,0.2948656811317755
542,Diamond Ranch High,1,0,30.0,4.0,61018,18576,0.05133663477267125,0.2784861182692092,0.187375355726354,0.044659062899141774
543,Ganesha High,1,0,8.0,,62136,8274,0.04970169123810463,0.29618855086041124,0.15664908042009762,0.039347172230166164
544,Granite Hills High,1,0,14.0,5.0,44693,22638,0.03678668629813055,0.31564270735733724,0.17701780216838442,0.037054388078347385
545,Porterville High,1,0,14.0,3.0,44693,22638,0.03678668629813055,0.31564270735733724,0.17701780216838442,0.037054388078347385
546,Poway High,1,0,62.0,6.0,115391,16032,0.023843681854699875,0.1433490187076782,0.3946115000573855,0.20185355216343395
547,Quartz Hill High,1,0,47.0,11.0,84674,21462,0.017471648766265783,0.286792291036937,0.2571012069372092,0.0991489270478273
548,Cordova High,1,0,18.0,,71732,20765,0.018580782162449124,0.24658088328235206,0.3016153904492252,0.10941173496473443
549,Los Osos High,1,0,133.0,20.0,103679,7795,0.008874858538328667,0.23223539222109715,0.3432604681636786,0.1367562094228364
550,Rancho Cucamonga High,1,0,92.0,9.0,100653,13347,0.014295774647887324,0.22140845070422535,0.3348239436619718,0.1269718309859155
551,Red Bluff High,1,0,11.0,3.0,49259,12084,0.016360111589200435,0.2843633268712469,0.25414913234668307,0.05220104969502104
552,Enterprise High,1,0,7.0,,60102,12443,0.011305470245248587,0.2946098722570882,0.24849779676859393,0.0655628254773668
553,Shasta High,1,0,19.0,6.0,58673,13410,0.00850137582652265,0.24267937081604993,0.2759045546018317,0.11154462195572713
554,University Preparatory,1,1,19.0,3.0,58673,13410,0.00850137582652265,0.24267937081604993,0.2759045546018317,0.11154462195572713
555,Citrus Valley High,1,0,36.0,6.0,78191,13964,0.01985520751200631,0.24442692280123288,0.2810551214966669,0.15464841230019352
556,Redlands East Valley High,1,0,25.0,7.0,78191,13964,0.01985520751200631,0.24442692280123288,0.2810551214966669,0.15464841230019352
557,Redondo Union High,1,0,91.0,7.0,104859,15650,0.003294955309801545,0.08930465081048326,0.4629222845023481,0.27170125738524464
558,Design Tech High,1,1,59.0,9.0,173760,4780,0.006739181839678411,0.0811066445968314,0.40435091038070464,0.42385906833766845
559,Everest Public High,1,1,23.0,5.0,80313,10724,0.05817313732881015,0.2586170791975541,0.22109142689617622,0.13862713071156343
560,Sequoia High,1,0,83.0,12.0,184479,10126,0.006666013135967062,0.0953828056072934,0.3980001960592099,0.32707577688461914
561,Summit Preparatory Charter High,1,1,28.0,4.0,80313,10724,0.05817313732881015,0.2586170791975541,0.22109142689617622,0.13862713071156343
562,Reedley Middle College High,1,1,7.0,4.0,52642,8738,0.04070209759808716,0.2774154983154005,0.1978045864579937,0.04119117487229649
563,Grover Cleveland Charter High,1,1,131.0,33.0,65740,24581,0.040246568469340216,0.254506683869118,0.2649177507794861,0.08472207289538759
564,Magnolia Science Academy,1,1,12.0,,65740,24581,0.040246568469340216,0.254506683869118,0.2649177507794861,0.08472207289538759
565,Reseda Charter High,1,1,24.0,8.0,65740,24581,0.040246568469340216,0.254506683869118,0.2649177507794861,0.08472207289538759
566,Sherman Oaks Center for Enriched Studies,1,0,56.0,12.0,65740,24581,0.040246568469340216,0.254506683869118,0.2649177507794861,0.08472207289538759
567,Eisenhower High,1,0,20.0,4.0,59416,21559,0.04639866322109313,0.3728019896244195,0.12711057570870654,0.02689101754522315
568,Rialto High,1,0,37.0,4.0,59416,21559,0.04639866322109313,0.3728019896244195,0.12711057570870654,0.02689101754522315
569,Wilmer Amina Carter High,1,0,36.0,6.0,95953,5393,0.017222902633190446,0.36351806491120636,0.21586037966932026,0.06659522351500306
570,Richmond High,1,0,28.0,6.0,63764,14466,0.031398974873651384,0.26413133087207424,0.26026022438080215,0.10849851249148715
571,De Anza High,1,0,52.0,21.0,96971,9131,0.01582551356834897,0.1774283540451433,0.36692873446614255,0.1325893989348212
572,John F. Kennedy High,1,0,21.0,,63764,14466,0.031398974873651384,0.26413133087207424,0.26026022438080215,0.10849851249148715
573,John Henry High,1,1,26.0,,63764,14466,0.031398974873651384,0.26413133087207424,0.26026022438080215,0.10849851249148715
574,Leadership Public Schools: Richmond,1,1,61.0,12.0,66476,9407,0.06965472442912107,0.2575825713286364,0.1590965872183081,0.06785589366911507
575,Making Waves Academy,1,1,45.0,17.0,68012,19732,0.03865693154698613,0.29434559674865907,0.22948418043051913,0.0532596110677914
576,Richmond High,1,0,61.0,16.0,63764,14466,0.031398974873651384,0.26413133087207424,0.26026022438080215,0.10849851249148715
577,Ripon High,1,0,12.0,,86116,6663,0.015557275541795666,0.3091331269349845,0.26524767801857585,0.07043343653250773
578,Riverbank High,1,0,14.0,6.0,70248,7425,0.04697156983930779,0.33485134343894346,0.18599960965454426,0.03474074555982044
579,Riverdale High,1,0,12.0,3.0,51830,1604,0.05645805592543276,0.30279627163781625,0.14274300932090547,0.03115845539280959
580,Arlington High,1,0,14.0,3.0,75415,24650,0.038243649873081514,0.3460419923680804,0.1913191117386992,0.060265268041757025
581,Hillcrest High,1,0,23.0,4.0,75415,24650,0.038243649873081514,0.3460419923680804,0.1913191117386992,0.060265268041757025
582,John W. North High,1,0,44.0,11.0,54701,16843,0.016229193341869397,0.2612035851472471,0.23498719590268885,0.13745198463508324
583,La Sierra High,1,0,14.0,4.0,71139,14326,0.025176652217801795,0.3133721275458702,0.21830651386497238,0.059408586188468615
584,Martin Luther King Jr. High,1,0,82.0,14.0,121021,10110,0.01318383440118285,0.2021110563495975,0.297765730244784,0.17225234105470674
585,Norte Vista High,1,0,19.0,3.0,75415,24650,0.038243649873081514,0.3460419923680804,0.1913191117386992,0.060265268041757025
586,Ramona High,1,0,21.0,6.0,69531,16576,0.036653063293706115,0.3260500367544549,0.2028592431117082,0.06445970951306684
587,Riverside STEM Academy,1,0,42.0,8.0,54701,16843,0.016229193341869397,0.2612035851472471,0.23498719590268885,0.13745198463508324
588,Riverside STEM Academy,1,0,15.0,4.0,54701,16843,0.016229193341869397,0.2612035851472471,0.23498719590268885,0.13745198463508324
589,Rocklin High,1,0,53.0,7.0,107776,13136,0.0047565301515640115,0.11794582392776523,0.4467107384714608,0.18373105449854885
590,Western Sierra Collegiate Academy,1,1,30.0,5.0,107776,13136,0.0047565301515640115,0.11794582392776523,0.4467107384714608,0.18373105449854885
591,Whitney High,1,0,43.0,5.0,107776,13136,0.0047565301515640115,0.11794582392776523,0.4467107384714608,0.18373105449854885
592,Credo High,1,1,14.0,5.0,78181,16241,0.009338682899833979,0.26635998893193136,0.31405644714997233,0.09560044272274489
593,Technology High,1,0,16.0,3.0,78181,16241,0.009338682899833979,0.26635998893193136,0.31405644714997233,0.09560044272274489
594,Rosemead High,1,0,57.0,11.0,61394,16887,0.12605375822041753,0.298494946374189,0.24464845301672772,0.043121331155934146
