,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
253,Clear Lake High,1,0,3.0,3.0,55625,4623,0.029969788519637462,0.28580060422960724,0.2582477341389728,0.09583081570996979
254,Artesia High,1,0,11.0,9.0,74471,6227,0.053529369780886446,0.24223824138177147,0.3201770037827421,0.06423524373706374
255,Mayfair High,1,0,14.0,9.0,108311,8996,0.009296281487405038,0.26004598160735704,0.30327868852459017,0.09551179528188725
256,Antelope Valley High,1,0,9.0,8.0,49304,21129,0.029824999432553283,0.36675216197199084,0.1813105749370134,0.04432893751276755
257,Eastside High,1,0,25.0,19.0,49304,21129,0.029824999432553283,0.36675216197199084,0.1813105749370134,0.04432893751276755
258,SOAR High (Students On Academic Rise),1,0,10.0,10.0,84674,21462,0.017471648766265783,0.286792291036937,0.2571012069372092,0.0991489270478273
259,Redwood High,1,0,21.0,20.0,136604,3205,0.0,0.037205620423510784,0.4763506827627152,0.3607757767662775
260,Lathrop High,1,0,20.0,17.0,89653,5904,0.0499831365935919,0.32418212478920744,0.24478920741989882,0.04168634064080944
261,Environmental Charter High - Lawndale,1,1,46.0,42.0,70389,10499,0.05462114204019847,0.2897990076528467,0.2196619291901438,0.06824489109410478
262,Leuzinger High,1,0,35.0,27.0,70389,10499,0.05462114204019847,0.2897990076528467,0.2196619291901438,0.06824489109410478
263,Le Grand High,1,0,23.0,21.0,53125,771,0.05802816901408451,0.2067605633802817,0.14140845070422536,0.08507042253521127
264,Lemoore Middle College High,1,1,5.0,5.0,65631,12005,0.02209276271566211,0.2893569347972216,0.2398834864440959,0.07174546269325566
265,Lemoore High,1,0,11.0,11.0,65631,12005,0.02209276271566211,0.2893569347972216,0.2398834864440959,0.07174546269325566
266,Lincoln High,1,0,6.0,6.0,88167,20056,0.011485471931719397,0.22338716050683596,0.3285740628539817,0.1298437870445984
267,Linden High,1,0,13.0,13.0,74613,1643,0.0029459901800327334,0.37250409165302784,0.267430441898527,0.05335515548281506
268,Live Oak High,1,0,7.0,6.0,59875,3236,0.026458120157871655,0.2707206548750183,0.23344540271890074,0.0337669931296594
269,Granada High,1,0,16.0,15.0,150061,18335,0.011585349798572895,0.16646041233313147,0.40822559835698674,0.18799863082229654
270,Livermore High,1,0,13.0,13.0,150061,18335,0.011585349798572895,0.16646041233313147,0.40822559835698674,0.18799863082229654
271,Livingston High,1,0,40.0,34.0,59412,4306,0.12944523470839261,0.3021337126600285,0.13456614509246087,0.02930298719772404
272,Tokay High,1,0,28.0,25.0,55933,16499,0.05378697653458654,0.28728232529693887,0.21363504683426143,0.05951652879260952
273,Cabrillo High,1,0,3.0,3.0,63966,17722,0.032056491159245665,0.27682349314876564,0.21111329055398323,0.0601339423319416
274,Lompoc High,1,0,3.0,3.0,63966,17722,0.032056491159245665,0.27682349314876564,0.21111329055398323,0.0601339423319416
