,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
358,Los Gatos High,1,0,155.0,14.0,199063,5239,0.0005957108816521049,0.05430897537728356,0.4445988880063543,0.3876092136616362
359,Lynwood High,1,0,91.0,49.0,57236,15254,0.06270247429456782,0.33525048124325085,0.09258650640875159,0.01866284802103385
360,Marco Antonio Firebaugh High,1,0,73.0,48.0,57236,15254,0.06270247429456782,0.33525048124325085,0.09258650640875159,0.01866284802103385
361,Mira Costa High,1,0,151.0,45.0,153926,13313,0.0003283128821767144,0.06377477736282677,0.4595149177165839,0.34575450404235236
362,Manteca High,1,0,24.0,3.0,70084,15490,0.02104603820858127,0.37478860006263703,0.20184779204509865,0.04459755715627936
363,Sierra High,1,0,19.0,,70084,15490,0.02104603820858127,0.37478860006263703,0.20184779204509865,0.04459755715627936
364,Alhambra Senior High,1,0,20.0,4.0,106557,19096,0.005880877393461356,0.19510019788734356,0.3822291591181471,0.1320828339697316
365,Maywood Academy High,1,0,26.0,9.0,50996,6753,0.0816594930655189,0.32747489239598276,0.0824964131994261,0.025466284074605453
366,Maywood Center for Enriched Studies,1,0,69.0,6.0,50996,6753,0.0816594930655189,0.32747489239598276,0.0824964131994261,0.025466284074605453
367,Paloma Valley High,1,0,86.0,50.0,97674,15112,0.018143100511073255,0.2530664395229983,0.26087450312322547,0.08350369108461102
368,El Capitan High,1,0,48.0,7.0,51340,10889,0.04261713553727152,0.30551313001921465,0.19485638271665764,0.06064935704783958
369,Mills High,1,0,102.0,7.0,126319,7959,0.01384225717146728,0.19879837427107264,0.381103846380397,0.18006714967308712
370,Milpitas High,1,0,257.0,19.0,136966,22207,0.025093542322083433,0.18148141253560193,0.3942366760364117,0.22113218786649044
371,Capistrano Valley High,1,0,99.0,43.0,125115,17061,0.014375,0.14923295454545454,0.41951704545454543,0.19855113636363636
372,Mission Viejo High,1,0,96.0,24.0,118379,16703,0.008397753183916357,0.17023524831766865,0.4143540403759524,0.15307824926311106
373,Trabuco Hills High,1,0,110.0,23.0,118379,16703,0.008397753183916357,0.17023524831766865,0.4143540403759524,0.15307824926311106
374,Aspire Vanguard College Preparatory Academy,1,1,6.0,,44517,13441,0.055248026856183706,0.36580836398700045,0.10060354987321882,0.015820863540587836
375,Fred C. Beyer High,1,0,24.0,5.0,67205,20828,0.015112412526676262,0.3035386371532086,0.24303935679190034,0.07102089433718795
376,Grace M. Davis High,1,0,16.0,4.0,57291,19488,0.02743611421714348,0.3476695666403033,0.23533422423432515,0.056699484550140455
377,James C. Enochs High,1,0,35.0,,67205,20828,0.015112412526676262,0.3035386371532086,0.24303935679190034,0.07102089433718795
378,Joseph A. Gregori High,1,0,36.0,9.0,76225,10951,0.014214085284511707,0.28750172501035004,0.2821196927181563,0.08753852523115138
379,Modesto High,1,0,40.0,6.0,44517,13441,0.055248026856183706,0.36580836398700045,0.10060354987321882,0.015820863540587836
380,Monrovia High,1,0,62.0,7.0,82801,14593,0.01864452912357104,0.21992378878606422,0.3324373979314099,0.14976864452912358
381,Montclair High,1,0,92.0,37.0,63529,10451,0.05133419097813006,0.289994605137569,0.18786570942440967,0.061667427480599245
382,Applied Technology Center,1,0,34.0,,62521,18937,0.0367667372686251,0.3224974675384474,0.2185514319918961,0.05329680449396814
