,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
746,James Lick High,1,0,24.0,12.0,104518,15787,0.0538728323699422,0.2937803468208092,0.24578034682080924,0.07907514450867052
747,KIPP San Jose Collegiate,1,1,34.0,18.0,98386,8480,0.05548024300848521,0.206456795702164,0.312547070341919,0.16985489782597782
748,Latino College Preparatory Academy,1,1,10.0,5.0,104518,15787,0.0538728323699422,0.2937803468208092,0.24578034682080924,0.07907514450867052
749,Leigh High,1,0,128.0,44.0,158484,17445,0.008446751788971517,0.15616669005191525,0.3856040409709555,0.24686403816472569
750,Leland High,1,0,221.0,70.0,207959,12714,0.005233630784291577,0.06558981889378365,0.45724613125494185,0.34417711510222526
751,Luis Valdez Leadership Academy,1,1,13.0,9.0,84335,12010,0.09479959695476937,0.2855743394536498,0.1770040304523063,0.04178795342588446
752,Lynbrook High,1,0,380.0,156.0,157747,13956,0.0043118808352932796,0.09831801012044758,0.38742783835792177,0.4044259140474663
753,Mt. Pleasant High,1,0,31.0,9.0,104518,15787,0.0538728323699422,0.2937803468208092,0.24578034682080924,0.07907514450867052
754,Oak Grove High,1,0,48.0,17.0,121404,23446,0.02723435343777904,0.18887490867765241,0.3840409124117217,0.16056498092377627
755,Piedmont Hills High,1,0,200.0,76.0,130078,12183,0.03444272445820434,0.17372936016511867,0.4142479360165119,0.16773090815273478
756,Pioneer High,1,0,85.0,26.0,123250,11277,0.01031982563053245,0.17334638138872827,0.3525199056981451,0.23010542235665674
757,San Jose High,1,0,29.0,11.0,70656,14072,0.06442721791559002,0.2971576227390181,0.18748205569910997,0.04886592018374964
758,Santa Teresa High,1,0,103.0,39.0,121404,23446,0.02723435343777904,0.18887490867765241,0.3840409124117217,0.16056498092377627
759,Silver Creek High,1,0,169.0,70.0,111105,9823,0.0816793893129771,0.2242820792439113,0.3373318793166121,0.08342420937840785
760,Summit Public School: Tahoma,1,1,44.0,16.0,121404,23446,0.02723435343777904,0.18887490867765241,0.3840409124117217,0.16056498092377627
761,University Preparatory Academy Charter,1,1,50.0,15.0,121428,21335,0.015547452648637699,0.15517066747695735,0.39058543502481513,0.2273371822141193
762,Learning in an Urban Community with High Achievement (L.U.C.H.A.),1,0,34.0,17.0,70656,14072,0.06442721791559002,0.2971576227390181,0.18748205569910997,0.04886592018374964
763,Willow Glen High,1,0,84.0,31.0,121428,21335,0.015547452648637699,0.15517066747695735,0.39058543502481513,0.2273371822141193
764,Yerba Buena High,1,0,75.0,37.0,84335,12010,0.09479959695476937,0.2855743394536498,0.1770040304523063,0.04178795342588446
765,California Connections Academy Southern California,1,1,15.0,5.0,105524,13592,0.030297390851230132,0.18666021513380726,0.3251200357315666,0.15725611344772397
766,San Juan Hills High,1,0,86.0,38.0,105524,13592,0.030297390851230132,0.18666021513380726,0.3251200357315666,0.15725611344772397
767,San Leandro High,1,0,104.0,41.0,89219,17261,0.03227251098608895,0.2523021804237691,0.3249363226691298,0.1193495115738797
768,Arroyo High,1,0,81.0,29.0,96581,8794,0.041568081651588956,0.31876594757596843,0.28680120621665506,0.048805381581999534
769,KIPP King Collegiate High,1,1,52.0,26.0,96581,8794,0.041568081651588956,0.31876594757596843,0.28680120621665506,0.048805381581999534
770,San Lorenzo High,1,0,41.0,17.0,96581,8794,0.041568081651588956,0.31876594757596843,0.28680120621665506,0.048805381581999534
771,San Luis Obispo High,1,0,54.0,15.0,78788,12667,0.0036402244805096313,0.1589564689822539,0.3762576469993427,0.22164922392436423
772,Mission Hills High,1,0,57.0,18.0,77618,14535,0.0314217366005043,0.2559966380034913,0.30662054697097046,0.08776750501066788
773,San Marcos High,1,0,120.0,34.0,91564,17528,0.01569480366799906,0.17746296731718786,0.39965906418998354,0.1467493533976017
774,San Marino High,1,0,113.0,46.0,163654,4108,0.013465179886387544,0.06301283399957922,0.42794024826425414,0.3812329055333474
775,Aragon High,1,0,170.0,53.0,163442,9872,0.0036345882608223934,0.10844092437886514,0.3992079852446566,0.33655202343495716
776,Hillsdale High,1,0,99.0,40.0,139631,16506,0.014490973842564165,0.1416247083384502,0.3975807441974702,0.25770600515780423
777,San Mateo High,1,0,108.0,44.0,94334,12689,0.02533070644525753,0.1895782236339512,0.3401954083068634,0.17598809858871778
778,Middle College High,1,0,35.0,17.0,68012,19732,0.03865693154698613,0.29434559674865907,0.22948418043051913,0.0532596110677914
779,Port of Los Angeles High,1,1,16.0,6.0,56881,22843,0.01614568666103445,0.3001736600018774,0.2344644701023186,0.08281704684126537
