,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
109,Carson Senior High,1,0,90.0,48.0,86981,14495,0.0433266017991555,0.24931154764090324,0.29266437619659574,0.057777544651053
110,Magnolia Science Academy 3,1,1,18.0,9.0,87713,8342,0.02257636122177955,0.24165068122571443,0.3051989572573902,0.13875362746544687
111,Caruthers High,1,0,15.0,11.0,53084,1450,0.026171637248934874,0.31284236153377964,0.18076688983566647,0.01704199634814364
112,Castro Valley High,1,0,317.0,217.0,101445,15922,0.02244662084068374,0.21500699555934058,0.3520895431595596,0.14015451061500092
113,Castro Valley Virtual Academy,1,0,4.0,3.0,101445,15922,0.02244662084068374,0.21500699555934058,0.3520895431595596,0.14015451061500092
114,North Monterey County High,1,0,50.0,34.0,69528,2359,0.09304738844690419,0.2416118989968869,0.13161535800760982,0.025077827741265997
115,Cathedral City High,1,0,82.0,63.0,50350,19716,0.039168937329700275,0.31877488996017606,0.22387864179417313,0.08811045902326556
116,Central Valley High,1,0,82.0,73.0,61287,12681,0.04367930568400085,0.39350501529487086,0.13487941950629578,0.01913637333712741
117,Ceres High,1,0,62.0,56.0,61287,12681,0.04367930568400085,0.39350501529487086,0.13487941950629578,0.01913637333712741
118,Whitmore Charter High,1,1,6.0,5.0,61287,12681,0.04367930568400085,0.39350501529487086,0.13487941950629578,0.01913637333712741
119,Cerritos High,1,0,249.0,148.0,108844,15496,0.017876237216571163,0.15118032517204508,0.43563732075782086,0.18476681380747403
120,Gahr (Richard) High,1,0,108.0,66.0,108844,15496,0.017876237216571163,0.15118032517204508,0.43563732075782086,0.18476681380747403
121,Whitney (Gretchen) High,1,0,139.0,106.0,108844,15496,0.017876237216571163,0.15118032517204508,0.43563732075782086,0.18476681380747403
122,Chatsworth Charter High,1,1,70.0,41.0,96432,14281,0.014166363966581911,0.20879701482680052,0.3712644057722154,0.1457253244394545
123,Chico High,1,0,44.0,32.0,51838,15724,0.012375571697605597,0.16469374943951215,0.35808447672854454,0.16052371984575375
124,CORE Butte Charter,1,1,8.0,6.0,56204,14483,0.01163910404019259,0.187858488591166,0.3606028888423697,0.13577559137534018
125,Inspire School of Arts and Sciences,1,1,9.0,7.0,51838,15724,0.012375571697605597,0.16469374943951215,0.35808447672854454,0.16052371984575375
126,Pleasant Valley High,1,0,47.0,30.0,51838,15724,0.012375571697605597,0.16469374943951215,0.35808447672854454,0.16052371984575375
127,Chino High,1,0,67.0,49.0,86702,23292,0.019386615052951264,0.2793277628286834,0.25455947379187716,0.06245574281263277
128,Don Antonio Lugo High,1,0,59.0,36.0,86702,23292,0.019386615052951264,0.2793277628286834,0.25455947379187716,0.06245574281263277
129,Chino Hills High,1,0,235.0,184.0,104661,25874,0.011750066660741267,0.17680206203892987,0.42008710336858945,0.1637721091458537
130,Ruben S. Ayala High,1,0,251.0,188.0,104661,25874,0.011750066660741267,0.17680206203892987,0.42008710336858945,0.1637721091458537
131,Chowchilla Union High,1,0,24.0,20.0,57689,5016,0.02211660329531052,0.2685678073510773,0.1420785804816223,0.02452471482889734
132,Chula Vista Learning Community Charter,1,1,36.0,23.0,65074,25145,0.028334427001833997,0.3098615247421466,0.20505443103999463,0.05030875103057224
133,Bonita Vista Senior High,1,0,177.0,117.0,113415,14899,0.03556472658857802,0.1901438368635067,0.38675122898585906,0.12687382411846818
